ANNO;GRUPO;ESTUDIO;CURSO
2025;X2º GA D;CFGM   (Gestión Administrativa);2º de CFGM (LOFP) - Gestión Administrativa
2025;X2º GA V;CFGM   (Gestión Administrativa);2º de CFGM (LOFP) - Gestión Administrativa
2025;2º GA D;CFGM   (Gestión Administrativa);2º de CFGM (LOFP) - Gestión Administrativa
2025;2º GA V;CFGM   (Gestión Administrativa);2º de CFGM (LOFP) - Gestión Administrativa
2025;XASIR_V;CFGS (Mod. e-learning) (Administración de sistemas informáticas en red);CFGS (Mod. E-Learning) (LOFP) - Administración de Sistemas Informáticos en Red
2025;ASIR_V;CFGS (Mod. e-learning) (Administración de sistemas informáticas en red);CFGS (Mod. E-Learning) (LOFP) - Administración de Sistemas Informáticos en Red
2025;AD_V;CFGS (Modular e-learning) (Asistencia a la Dirección);CFGS (Mod. E-Learning) (LOFP) - Asistencia a la Dirección
2025;XAD_V;CFGS (Modular e-learning) (Asistencia a la Dirección);CFGS (Mod. E-Learning) (LOFP) - Asistencia a la Dirección
2025;DAM_V;CFGS (Modular E-Learning) (Desarrollo Aplicaciones Multiplataf);CFGS (Mod. E-Learning) (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;XDAM_V;CFGS (Modular E-Learning) (Desarrollo Aplicaciones Multiplataf);CFGS (Mod. E-Learning) (LOFP) - Desarrollo de Aplicaciones Multiplataforma
2025;CUR PYTHON;CEGS Desarrollo de aplicaciones en lenguaje Python;Curso de Esp. Desarrollo de aplicaciones en lenguaje Python (LOFP)
2025;XCUR PYTHO;CEGS Desarrollo de aplicaciones en lenguaje Python;Curso de Esp. Desarrollo de aplicaciones en lenguaje Python (LOFP)
2025;SMR_V;CFGM (Modular e-learning) (Sistemas Microinform. Redes);CFGM (Mod. E-Learning) (LOFP) - Sistemas Microinformáticos y Redes
2025;XSMR_V;CFGM (Modular e-learning) (Sistemas Microinform. Redes);CFGM (Mod. E-Learning) (LOFP) - Sistemas Microinformáticos y Redes
2025;SRM D MOD;CFGM (Modular presencial) (Sistemas Microinform. y Redes);CFGM (Mod. Presencial) (LOFP) - Sistemas Microinformáticos y Redes
2025;SMR V MOD;CFGM (Modular presencial) (Sistemas Microinform. y Redes);CFGM (Mod. Presencial) (LOFP) - Sistemas Microinformáticos y Redes
2025;CAGM;Curso de acceso a CFGM;Curso de acceso a CFGM
2025;F 1º;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;1ºA BL;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;1ºA NBL;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;1ºB NBL;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;1ºC NBL;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;1ºD NBL;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;B 1º;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;1ºB BL;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;X 1º;Educación Secundaria Obligatoria;1º de ESO (LOMLOE)
2025;F 2º;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;B 2º;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;X 2º;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;2ºA NBL;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;2ºB NBL;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;2ºD NBL;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;2ºA BL;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;2ºB BL;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
2025;2ºC NBL;Educación Secundaria Obligatoria;2º de ESO (LOMLOE)
