CODIGO;DESCRIPCION;ABREVIATURA
9251;Servicios en red;SRED
8849;Historia y Cultura de las Reli;HCR
9005;Reproducción y archivo;RYA
9003;Operaciones básicas de comunic;OBC
9669;Administración de sistemas ges;ASGBD
9663;Administración de sistemas ope;ASO
9483;Gestión de documentación juríd;GDJE
11903;Ámbito Científico y Matemático;ACM
11813;Matemáticas Orientadas a las E;MATAC
9885;Desarrollo de interfaces;DESIF
12527;Ciencias aplicadas básicas II;CAB2
15181;Investigación y desarrollo cie;INDEC
8971;Atención al cliente;AAC
15001;Ámbito de Comunicación y Cienc;ACCS
16817;Ciudadanía e identidad digital;CID
17401;Entornos y sintaxis en Python;ESPY
13801;Incidentes de ciberseguridad;ICB
14261;Modelos de Inteligencia Artifi;MIA
16060;Inglés profesional para los ci;IPCGM
16065;Itinerario personal para la em;IPEII
16066;Proyecto intermodular II;PIMII
